Scenario,Objective,GPG (GWh),Battery Capacity (GW),Generator Capacity (GW),Wind & Solar Curtailment (GWh),Unserved Energy (GWh),Unserved by Region (GWh)
0_2024_baseline,"NSW1-Black Coal: x1.0
NSW1-Rooftop Solar: x1.0
NSW1-Solar: x1.0
NSW1-Wind: x1.0
NSW1-Battery: x1.0
QLD1-Black Coal: x1.0
QLD1-Rooftop Solar: x1.0
QLD1-Solar: x1.0
QLD1-Wind: x1.0
QLD1-Battery: x1.0
SA1-Rooftop Solar: x1.0
SA1-Solar: x1.0
SA1-Wind: x1.0
SA1-Battery: x1.0
VIC1-Brown Coal: x1.0
VIC1-Rooftop Solar: x1.0
VIC1-Solar: x1.0
VIC1-Wind: x1.0
VIC1-Battery: x1.0",1663.853,12.101,"Black Coal: 16389.0
Brown Coal: 4690.0
Diesel: 1110.0
Gas: 12751.0
Hydro: 12808.0
Rooftop Solar: 15901.42
Solar: 15477.0
Wind: 16008.0",1365.384,0.0,"NSW1: 0.0
QLD1: 0.0
SA1: 0.0
TAS1: 0.0
VIC1: 0.0"
1_BalancedTransition,"NSW1-Black Coal: x0.5
NSW1-Rooftop Solar: x1.2
NSW1-Solar: x1.2
NSW1-Wind: x1.25
NSW1-Battery: x1.5
QLD1-Black Coal: x0.5
QLD1-Rooftop Solar: x1.2
QLD1-Solar: x1.2
QLD1-Wind: x1.25
QLD1-Battery: x1.5
SA1-Rooftop Solar: x1.2
SA1-Solar: x1.2
SA1-Wind: x1.25
SA1-Battery: x1.5
TAS1-Wind: x1.25
TAS1-Battery: x1.5
VIC1-Brown Coal: x0.5
VIC1-Rooftop Solar: x1.2
VIC1-Solar: x1.2
VIC1-Wind: x1.25
VIC1-Battery: x1.5",6693.512,18.152,"Black Coal: 8194.5
Brown Coal: 2345.0
Diesel: 1110.0
Gas: 12751.0
Hydro: 12808.0
Rooftop Solar: 19031.214
Solar: 18572.4
Wind: 20010.0",2558.22,0.0,"NSW1: 0.0
QLD1: 0.0
SA1: 0.0
TAS1: 0.0
VIC1: 0.0"
2_BalancedAggressiveTransition,"NSW1-Black Coal: x0.25
NSW1-Rooftop Solar: x1.25
NSW1-Solar: x1.25
NSW1-Wind: x1.3
NSW1-Battery: x2.0
QLD1-Black Coal: x0.25
QLD1-Rooftop Solar: x1.25
QLD1-Solar: x1.25
QLD1-Wind: x1.3
QLD1-Battery: x2.0
SA1-Rooftop Solar: x1.25
SA1-Solar: x1.25
SA1-Wind: x1.3
SA1-Battery: x2.0
TAS1-Wind: x1.3
TAS1-Battery: x2.0
VIC1-Brown Coal: x0.25
VIC1-Rooftop Solar: x1.25
VIC1-Solar: x1.25
VIC1-Wind: x1.3
VIC1-Battery: x2.0",22571.625,24.202,"Black Coal: 4097.25
Brown Coal: 1172.5
Diesel: 1110.0
Gas: 12751.0
Hydro: 12808.0
Rooftop Solar: 19813.662
Solar: 19346.25
Wind: 20810.4",1442.539,0.0,"NSW1: 0.0
QLD1: 0.0
SA1: 0.0
TAS1: 0.0
VIC1: 0.0"
3.0_VreStorageRampTransition,"NSW1-Black Coal: x0.15
NSW1-Rooftop Solar: x1.3
NSW1-Solar: x1.3
NSW1-Wind: x1.5
NSW1-Battery: x4.0
QLD1-Black Coal: x0.15
QLD1-Rooftop Solar: x1.3
QLD1-Solar: x1.3
QLD1-Wind: x1.5
QLD1-Battery: x4.0
SA1-Rooftop Solar: x1.3
SA1-Solar: x1.3
SA1-Wind: x1.5
SA1-Battery: x4.0
TAS1-Wind: x1.5
TAS1-Battery: x4.0
VIC1-Brown Coal: x0.15
VIC1-Rooftop Solar: x1.3
VIC1-Solar: x1.3
VIC1-Wind: x1.5
VIC1-Battery: x4.0",21527.057,48.404,"Black Coal: 2458.35
Brown Coal: 703.5
Diesel: 1110.0
Gas: 12751.0
Hydro: 12808.0
Rooftop Solar: 20596.111
Solar: 20120.1
Wind: 24012.0",3.524,0.0,"NSW1: 0.0
QLD1: 0.0
SA1: 0.0
TAS1: 0.0
VIC1: 0.0"
3.1_VreStorageRampGasReduction,"NSW1-Black Coal: x0.15
NSW1-Gas: x0.9
NSW1-Rooftop Solar: x1.3
NSW1-Solar: x1.3
NSW1-Wind: x1.5
NSW1-Battery: x4.0
QLD1-Black Coal: x0.15
QLD1-Gas: x0.9
QLD1-Rooftop Solar: x1.3
QLD1-Solar: x1.3
QLD1-Wind: x1.5
QLD1-Battery: x4.0
SA1-Gas: x0.9
SA1-Rooftop Solar: x1.3
SA1-Solar: x1.3
SA1-Wind: x1.5
SA1-Battery: x4.0
TAS1-Gas: x0.9
TAS1-Wind: x1.5
TAS1-Battery: x4.0
VIC1-Brown Coal: x0.15
VIC1-Gas: x0.9
VIC1-Rooftop Solar: x1.3
VIC1-Solar: x1.3
VIC1-Wind: x1.5
VIC1-Battery: x4.0",21425.313,48.404,"Black Coal: 2458.35
Brown Coal: 703.5
Diesel: 1110.0
Gas: 11475.9
Hydro: 12808.0
Rooftop Solar: 20596.111
Solar: 20120.1
Wind: 24012.0",3.484,14.395,"NSW1: 0.0
QLD1: 0.0
SA1: 0.0
TAS1: 0.0
VIC1: 14.395"
3.1.1_VreStorageRampGasReduction,"NSW1-Black Coal: x0.15
NSW1-Gas: x0.9
NSW1-Rooftop Solar: x1.3
NSW1-Solar: x1.3
NSW1-Wind: x1.5
NSW1-Battery: x5.0
QLD1-Black Coal: x0.15
QLD1-Gas: x0.9
QLD1-Rooftop Solar: x1.3
QLD1-Solar: x1.3
QLD1-Wind: x1.5
QLD1-Battery: x4.0
SA1-Gas: x0.9
SA1-Rooftop Solar: x1.3
SA1-Solar: x1.3
SA1-Wind: x1.5
SA1-Battery: x4.0
TAS1-Gas: x0.9
TAS1-Wind: x1.5
TAS1-Battery: x4.0
VIC1-Brown Coal: x0.15
VIC1-Gas: x0.9
VIC1-Rooftop Solar: x1.3
VIC1-Solar: x1.3
VIC1-Wind: x1.5
VIC1-Battery: x5.0",20749.631,55.103,"Black Coal: 2458.35
Brown Coal: 703.5
Diesel: 1110.0
Gas: 11475.9
Hydro: 12808.0
Rooftop Solar: 20596.111
Solar: 20120.1
Wind: 24012.0",1.214,0.0,"NSW1: 0.0
QLD1: 0.0
SA1: 0.0
TAS1: 0.0
VIC1: 0.0"
3.1.2_VreStorageRampGasReduction,"NSW1-Black Coal: x0.15
NSW1-Gas: x0.9
NSW1-Rooftop Solar: x1.3
NSW1-Solar: x1.3
NSW1-Wind: x1.5
NSW1-Battery: x6.0
QLD1-Black Coal: x0.15
QLD1-Gas: x0.9
QLD1-Rooftop Solar: x1.3
QLD1-Solar: x1.3
QLD1-Wind: x1.5
QLD1-Battery: x4.0
SA1-Gas: x0.9
SA1-Rooftop Solar: x1.3
SA1-Solar: x1.3
SA1-Wind: x1.5
SA1-Battery: x4.0
TAS1-Gas: x0.9
TAS1-Wind: x1.5
TAS1-Battery: x4.0
VIC1-Brown Coal: x0.15
VIC1-Gas: x0.9
VIC1-Rooftop Solar: x1.3
VIC1-Solar: x1.3
VIC1-Wind: x1.5
VIC1-Battery: x6.0",20374.645,61.802,"Black Coal: 2458.35
Brown Coal: 703.5
Diesel: 1110.0
Gas: 11475.9
Hydro: 12808.0
Rooftop Solar: 20596.111
Solar: 20120.1
Wind: 24012.0",0.0,0.0,"NSW1: 0.0
QLD1: 0.0
SA1: 0.0
TAS1: 0.0
VIC1: 0.0"
3.2_VreStorageRampGasReduction,"NSW1-Black Coal: x0.15
NSW1-Gas: x0.75
NSW1-Rooftop Solar: x1.3
NSW1-Solar: x1.3
NSW1-Wind: x1.5
NSW1-Battery: x4.0
QLD1-Black Coal: x0.15
QLD1-Gas: x0.75
QLD1-Rooftop Solar: x1.3
QLD1-Solar: x1.3
QLD1-Wind: x1.5
QLD1-Battery: x4.0
SA1-Gas: x0.75
SA1-Rooftop Solar: x1.3
SA1-Solar: x1.3
SA1-Wind: x1.5
SA1-Battery: x4.0
TAS1-Gas: x0.75
TAS1-Wind: x1.5
TAS1-Battery: x4.0
VIC1-Brown Coal: x0.15
VIC1-Gas: x0.75
VIC1-Rooftop Solar: x1.3
VIC1-Solar: x1.3
VIC1-Wind: x1.5
VIC1-Battery: x4.0",21035.069,48.404,"Black Coal: 2458.35
Brown Coal: 703.5
Diesel: 1110.0
Gas: 9563.25
Hydro: 12808.0
Rooftop Solar: 20596.111
Solar: 20120.1
Wind: 24012.0",3.284,430.124,"NSW1: 44.203
QLD1: 52.666
SA1: 0.0
TAS1: 1.967
VIC1: 331.288"
3.3_VreStorageRampGasReduction,"NSW1-Black Coal: x0.15
NSW1-Gas: x0.5
NSW1-Rooftop Solar: x1.3
NSW1-Solar: x1.3
NSW1-Wind: x1.5
NSW1-Battery: x4.0
QLD1-Black Coal: x0.15
QLD1-Gas: x0.5
QLD1-Rooftop Solar: x1.3
QLD1-Solar: x1.3
QLD1-Wind: x1.5
QLD1-Battery: x4.0
SA1-Gas: x0.5
SA1-Rooftop Solar: x1.3
SA1-Solar: x1.3
SA1-Wind: x1.5
SA1-Battery: x4.0
TAS1-Gas: x0.5
TAS1-Wind: x1.5
TAS1-Battery: x4.0
VIC1-Brown Coal: x0.15
VIC1-Gas: x0.5
VIC1-Rooftop Solar: x1.3
VIC1-Solar: x1.3
VIC1-Wind: x1.5
VIC1-Battery: x4.0",18658.207,48.404,"Black Coal: 2458.35
Brown Coal: 703.5
Diesel: 1110.0
Gas: 6375.5
Hydro: 12808.0
Rooftop Solar: 20596.111
Solar: 20120.1
Wind: 24012.0",2.454,3469.853,"NSW1: 1051.598
QLD1: 705.74
SA1: 17.554
TAS1: 43.897
VIC1: 1651.064"
4_4xVreTransitionZeroCoal,"NSW1-Black Coal: x0.0
NSW1-Rooftop Solar: x2.0
NSW1-Solar: x4.0
NSW1-Wind: x4.0
NSW1-Battery: x4.0
QLD1-Black Coal: x0.0
QLD1-Rooftop Solar: x2.0
QLD1-Solar: x4.0
QLD1-Wind: x4.0
QLD1-Battery: x4.0
SA1-Rooftop Solar: x2.0
SA1-Solar: x4.0
SA1-Wind: x4.0
SA1-Battery: x4.0
TAS1-Battery: x4.0
TAS1-Wind: x4.0
VIC1-Brown Coal: x0.0
VIC1-Rooftop Solar: x2.0
VIC1-Solar: x4.0
VIC1-Wind: x4.0
VIC1-Battery: x4.0",5391.472,48.404,"Black Coal: 0.0
Brown Coal: 0.0
Diesel: 1110.0
Gas: 12751.0
Hydro: 12808.0
Rooftop Solar: 31550.39
Solar: 61908.0
Wind: 64032.0",89568.352,0.0,"NSW1: 0.0
QLD1: 0.0
SA1: 0.0
TAS1: 0.0
VIC1: 0.0"
